StaffNo,Share,year,percentage
SP0272,58611.77,2025,25
SP0273,793626.30,2025,25
SP0274,35096.70,2025,25
SP0276,1145387.78,2025,25
SP0277,203740.77,2025,25
SP0279,206548.55,2025,25
SP0280,0.00,2025,25
SP0282,132058.02,2025,25
SP0283,169711.91,2025,25
SP0285,47817.44,2025,25
SP0286,190963.08,2025,25
SP0292,387238.31,2025,25
SP0297,293077.75,2025,25
SP0299,27000.00,2025,25
SP0304,165655.66,2025,25
SP0307,266659.92,2025,25
SP0308,53413.75,2025,25
SP0309,33973.41,2025,25
SP0310,26394.81,2025,25
SP0312,127681.66,2025,25
SP0313,202740.77,2025,25
SP0316,94336.79,2025,25
SP0317,10000.00,2025,25
SP0318,290260.41,2025,25
SP0319,10000.00,2025,25
SP0321,274404.77,2025,25
SP0322,325096.70,2025,25
SP0323,114346.95,2025,25
SP0324,469039.86,2025,25
SP0325,110846.46,2025,25
SP0327,26529.21,2025,25
SP0330,48558.31,2025,25
SP0333,127904.28,2025,25
SP0334,144568.28,2025,25
SP0335,351423.72,2025,25
SP0336,147597.19,2025,25
SP0337,38510.45,2025,25
SP0341,146894.51,2025,25
SP0342,10000.00,2025,25
SP0343,146894.51,2025,25
SP0344,50000.00,2025,25
SP0345,156452.24,2025,25
SP0346,10000.00,2025,25
SP0347,372693.89,2025,25
SP0349,0.00,2025,25
SP0351,59000.00,2025,25
SP0352,137125.81,2025,25
SP0353,1111637.05,2025,25
SP0355,79105.88,2025,25
SP0357,110731.00,2025,25
SP0361,87105.88,2025,25
SP0362,59000.00,2025,25
SP0363,10000.00,2025,25
SP0365,94105.88,2025,25
SP0368,10000.00,2025,25
SP0369,33616.33,2025,25
SP0371,51924.21,2025,25
SP0372,26875.37,2025,25
SP0373,87125.22,2025,25
SP0374,172298.30,2025,25
SP0376,129298.30,2025,25
SP0377,312471.77,2025,25
SP0378,146894.51,2025,25
SP0379,73403.99,2025,25
SP0380,782425.64,2025,25
SP0382,72924.21,2025,25
SP0383,153702.09,2025,25
SP0384,225240.87,2025,25
SP0386,22894.51,2025,25
SP0387,190384.84,2025,25
SP0388,243587.42,2025,25
SP0394,54884.74,2025,25
SP0396,991887.29,2025,25
SP0398,75875.56,2025,25
SP0399,61972.07,2025,25
SP0400,153759.92,2025,25
SP0401,0.00,2025,25
SP0402,13461.61,2025,25
SP0403,200125.61,2025,25
SP0406,219866.38,2025,25
SP0408,506030.09,2025,25
SP0409,220000.00,2025,25
SP0413,132144.56,2025,25
SP0417,322558.31,2025,25
SP0418,62846.26,2025,25
SP0420,45654.62,2025,25
SP0421,435645.25,2025,25
SP0422,199683.14,2025,25
SP0423,294875.56,2025,25
SP0426,166875.37,2025,25
SP0427,221635.09,2025,25
SP0428,136207.17,2025,25
SP0433,258990.43,2025,25
SP0434,164490.72,2025,25
SP0435,134635.09,2025,25
SP0440,516207.91,2025,25
SP0441,152086.93,2025,25
SP0442,59000.00,2025,25
SP0443,76375.27,2025,25
SP0444,101288.90,2025,25
SP0445,26788.83,2025,25
SP0447,53500.29,2025,25
SP0448,25875.56,2025,25
SP0449,681645.25,2025,25
SP0450,253558.31,2025,25
SP0451,124058.02,2025,25
SP0456,107982.03,2025,25
SP0462,55105.88,2025,25
SP0464,421924.21,2025,25
SP0466,100000.00,2025,25
SP0467,107981.25,2025,25
SP0470,121894.51,2025,25
SP0472,221972.26,2025,25
SP0473,10000.00,2025,25
SP0474,25490.72,2025,25
SP0475,301990.43,2025,25
SP0476,0.00,2025,25
SP0477,383270.65,2025,25
SP0478,53461.61,2025,25
SP0479,43231.49,2025,25
SP0480,429067.98,2025,25
SP0482,76597.39,2025,25
SP0483,115058.02,2025,25
SP0485,21856.03,2025,25
SP0486,163721.63,2025,25
SP0487,661010.94,2025,25
SP0488,230010.16,2025,25
SP0491,132702.09,2025,25
SP0496,100000.00,2025,25
SP0499,83000.00,2025,25
SP0500,0.00,2025,25
SP0503,7702.09,2025,25
SP0504,538211.56,2025,25
SP0505,213759.92,2025,25
SP0506,170683.14,2025,25
SP0507,159423.52,2025,25
SP0509,162731.00,2025,25
SP0510,49173.01,2025,25
SP0511,165490.72,2025,25
SP0512,116894.51,2025,25
SP0513,150000.00,2025,25
SP0514,326308.27,2025,25
SP0519,29000.00,2025,25
SP0520,29000.00,2025,25
SP0521,10000.00,2025,25
SP0522,10000.00,2025,25
SP0524,137086.93,2025,25
SP0526,10000.00,2025,25
SP0529,171793.59,2025,25
SP0530,273875.56,2025,25
SP0533,55894.32,2025,25
SP0534,667703.07,2025,25
SP0536,45807.78,2025,25
SP0542,178846.65,2025,25
SP0543,37577.26,2025,25
SP0546,83086.93,2025,25
SP0547,46509.67,2025,25
SP0552,63057.82,2025,25
SP0553,65201.99,2025,25
SP0554,81509.67,2025,25
SP0555,103327.21,2025,25
SP0556,10000.00,2025,25
SP0560,17702.09,2025,25
SP0561,65000.00,2025,25
SP0562,10000.00,2025,25
SP0563,100000.00,2025,25
SP0565,115596.41,2025,25
SP0567,0.00,2025,25
SP0570,109432.90,2025,25
SP0572,99403.99,2025,25
SP0575,65403.99,2025,25
SP0576,17702.09,2025,25
SP0577,320568.28,2025,25
SP0578,312981.05,2025,25
SP0579,102577.26,2025,25
SP0580,29807.78,2025,25
SP0583,57105.88,2025,25
SP0584,355568.28,2025,25
SP0585,93003.15,2025,25
SP0586,13461.61,2025,25
SP0587,217557.92,2025,25
SP0592,60000.00,2025,25
SP0598,415856.62,2025,25
SP0599,123279.35,2025,25
SP0601,38490.72,2025,25
SP0602,10000.00,2025,25
SP0603,17000.00,2025,25
SP0605,43596.41,2025,25
SP0606,0.00,2025,25
SP0607,220384.84,2025,25
SP0610,72836.69,2025,25
SP0616,45365.50,2025,25
SP0618,25105.88,2025,25
SP0619,29000.20,2025,25
SP0620,44000.00,2025,25
SP0623,120644.27,2025,25
SP0627,47288.53,2025,25
SP0630,56260.41,2025,25
SP0631,96645.25,2025,25
SP0632,0.00,2025,25
SP0634,293241.46,2025,25
SP0637,164490.72,2025,25
SP0642,64461.81,2025,25
SP0643,17702.09,2025,25
SP0644,10000.00,2025,25
SP0645,29856.42,2025,25
SP0646,112000.00,2025,25
SP0647,45375.07,2025,25
SP0648,0.00,2025,25
SP0650,72500.49,2025,25
SP0652,10000.00,2025,25
SP0655,29509.67,2025,25
SP0657,15192.42,2025,25
SP0661,193000.20,2025,25
SP0663,88654.03,2025,25
SP0667,131067.98,2025,25
SP0669,70375.07,2025,25
SP0672,157000.00,2025,25
SP0673,14000.00,2025,25
SP0674,87702.09,2025,25
SP0675,68346.55,2025,25
SP0676,300000.00,2025,25
SP0684,55807.78,2025,25
SP0691,61183.44,2025,25
SP0695,22981.05,2025,25
SP0699,92875.56,2025,25
SP0724,24105.88,2025,25
SP0744,64105.88,2025,25
SP0745,87692.52,2025,25
SP0746,18000.00,2025,25
SP0747,20125.22,2025,25
SP0748,14000.00,2025,25
SP0750,60375.07,2025,25
SP0753,129692.52,2025,25
SP0756,389000.00,2025,25
SP0767,59000.00,2025,25
SP0768,10000.00,2025,25
SP0769,80144.36,2025,25
SP0770,14000.00,2025,25
SP0771,23471.19,2025,25
SP0780,10000.00,2025,25
SP0781,10000.00,2025,25
SP0789,10000.00,2025,25
SP0792,59000.00,2025,25
SP0807,0.00,2025,25
SP0810,30336.98,2025,25
SP0811,12692.32,2025,25
SP0812,10000.00,2025,25
SP0813,18480.95,2025,25
SP0814,0.00,2025,25
SP0816,76000.00,2025,25
SP0817,10000.00,2025,25
SP0818,58221.33,2025,25
SP0819,13000.00,2025,25
SP0820,0.00,2025,25
SP0821,40769.29,2025,25
SP0822,75086.74,2025,25
SP0823,10000.00,2025,25
SP0824,22000.00,2025,25
SP0827,27211.56,2025,25
SP0828,22000.00,2025,25
SP0829,10000.00,2025,25
SP0830,10000.00,2025,25
SP0831,17000.00,2025,25
SP0832,105538.58,2025,25
SP0833,33250.05,2025,25
SP0834,10000.00,2025,25
SP0835,41682.95,2025,25
SP0836,64134.79,2025,25
SP0838,30990.43,2025,25
SP0840,50807.78,2025,25
SP0841,13807.78,2025,25
SP0842,17702.09,2025,25
SP0843,50000.00,2025,25
SP0844,40509.67,2025,25
SP0845,17182.85,2025,25
SP0846,48586.64,2025,25
SP0847,13000.00,2025,25
SP0848,38250.05,2025,25
SP0849,22692.32,2025,25
SP0850,95817.54,2025,25
SP0851,38807.78,2025,25
SP0881,64105.88,2025,25
SP0882,18807.78,2025,25
SP0885,48990.43,2025,25
SP0886,10000.00,2025,25
SP0887,80211.56,2025,25
SP0888,285144.56,2025,25
SP0889,24000.00,2025,25
SP0890,34509.67,2025,25
SP0891,10000.00,2025,25
SP0894,10000.00,2025,25
SP0896,12000.00,2025,25
SP0897,51711.66,2025,25
SP0898,10000.00,2025,25
SP0899,11211.56,2025,25
SP0900,168923.23,2025,25
SP0901,14000.00,2025,25
SP0902,135000.00,2025,25
SP0905,11990.43,2025,25
SP0907,10000.00,2025,25
SP0908,22000.00,2025,25
SP0914,0.00,2025,25
SP1026,0.00,2025,25
SP1027,0.00,2025,25
SP1030,0.00,2025,25
SP1038,0.00,2025,25
SP1039,0.00,2025,25
SP1041,0.00,2025,25
SP1045,0.00,2025,25
SP1053,0.00,2025,25
SP1055,0.00,2025,25
SP1057,0.00,2025,25
SP1065,0.00,2025,25
SP1067,0.00,2025,25
SP1070,0.00,2025,25
SP1081,0.00,2025,25
SP1086,0.00,2025,25
SP1097,0.00,2025,25
SP1105,0.00,2025,25
SP1134,0.00,2025,25
SP1135,0.00,2025,25
SP1140,0.00,2025,25
SP1142,0.00,2025,25
SP1145,0.00,2025,25
SP1153,0.00,2025,25
SP1161,0.00,2025,25
SP1167,0.00,2025,25
SP1170,0.00,2025,25
SP1172,0.00,2025,25
SP1175,0.00,2025,25
SP1176,0.00,2025,25
SP1190,0.00,2025,25
SP1194,0.00,2025,25
SP1198,0.00,2025,25
SP1199,0.00,2025,25
SP1200,0.00,2025,25
SP1204,0.00,2025,25
SP1206,0.00,2025,25
SP1208,0.00,2025,25
SP1211,0.00,2025,25
